"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Saa3","Saa3","Saa3","","serum amyloid A 3","7","org.Mm.eg.db","Saa3","P04918;Q62201"
"Gprc2a","Gprc2a","Casr","CASR","calcium-sensing receptor","16","org.Mm.eg.db","Gprc2a","G3UX06;O08968;O88519;Q9QY95;Q9QY96;Q9QZU8;Q9R1D6;Q9R1Y2"
"Prkaa2","Prkaa2","Prkaa2","PRKAA2","protein kinase, AMP-activated, alpha 2 catalytic subunit","4","org.Mm.eg.db","Prkaa2","B1ASQ8;Q3UYM4;Q8BRK8"
"Adpn","Adpn","Pnpla3","PNPLA3","patatin-like phospholipase domain containing 3","15","org.Mm.eg.db","Adpn","Q91WW7;E9QNZ9"
"Fgl1","Fgl1","Fgl1","FGL1","fibrinogen-like protein 1","8","org.Mm.eg.db","Fgl1","A0A0R4J0E1;Q71KU9;Q8VC25"
"4933428D01Rik","4933428D01Rik","Dydc2","DYDC2","DPY30 domain containing 2","14","org.Mm.eg.db","4933428D01Rik","Q9D3X8"
"Pnliprp2","Pnliprp2","Pnliprp2","PNLIPRP2","pancreatic lipase-related protein 2","19","org.Mm.eg.db","Pnliprp2","P17892;Q4VBW7"
"Mmp13","Mmp13","Mmp13","MMP13","matrix metallopeptidase 13","9","org.Mm.eg.db","Mmp13","P33435;Q3U5R7;Q3U9V5"
"Semcap2","Semcap2","Gipc2","GIPC2","GIPC PDZ domain containing family, member 2","3","org.Mm.eg.db","Semcap2","Q9CVG2;Q9Z2H7"
"S100a8","S100a8","S100a8","S100A8","S100 calcium binding protein A8 (calgranulin A)","3","org.Mm.eg.db","S100a8","P27005;P31724;Q53X15"
"Fasn","Fasn","Fasn","FASN","fatty acid synthase","11","org.Mm.eg.db","Fasn","B1ATU8;P19096;Q3UHT6;Q6PB72;Q8C4Z0;Q9EQR0"
"Saa1","Saa1","Saa1;Saa2","SAA1","serum amyloid A 1; serum amyloid A 2","7","org.Mm.eg.db","Saa1","P05366;Q5I0U6;Q64454;Q8R3T4;P05367;P97375"
"Ins1","Ins1","Ins1","","insulin I","19","org.Mm.eg.db","Ins1","P01325;Q545I7;Q9D907"
"Ins2","Ins2","Ins2","INS","insulin II","7","org.Mm.eg.db","Ins2","D0EY27;P01326;Q5EEX1"
"Gcg","Gcg","Gcg","GCG","glucagon","2","org.Mm.eg.db","Gcg","A2AS86;P55095;Q3UFE9"
"Cckar","Cckar","Cckar","CCKAR","cholecystokinin A receptor","5","org.Mm.eg.db","Cckar","Q3TPL0;O08786;Q8VCC7;Q9DBV6"
"Irg1","Irg1","Acod1","ACOD1","aconitate decarboxylase 1","14","org.Mm.eg.db","Irg1","A0A0R4J027;P54987;Q3TAA1;Q3U8E8;Q8CBA6"
"Osbpl3","Osbpl3","Osbpl3","OSBPL3","oxysterol binding protein-like 3","6","org.Mm.eg.db","Osbpl3","F8WH20;Q80UX3;D3YTT6;E9QNI5;Q9DBS9;D3Z194"
"Trf3","Trf3","Tbpl2","TBPL2","TATA box binding protein like 2","2","org.Mm.eg.db","Trf3","B7ZMZ6;Z4YMT0;A2AQK6;Q498A1;Q6SJ95"
"Cat","Cat","cac","","recessive cataract",NA,"org.Mm.eg.db","Cat",NA
"Itln","Itln","Itln1","ITLN1","intelectin 1 (galactofuranose binding)","1","org.Mm.eg.db","Itln","B9EK97;D9J349;O88310;Q5IWS3"
"Ccl5","Ccl5","Ccl5","CCL5","C-C motif chemokine ligand 5","11","org.Mm.eg.db","Ccl5","P30882;Q5XZF2"
"2900010J23Rik","2900010J23Rik","Swi5","SWI5","SWI5 recombination repair homolog (yeast)","2","org.Mm.eg.db","2900010J23Rik","A0A0A0MQ99"
"BC051083","BC051083","Mtmr11","MTMR11","myotubularin related protein 11",NA,"org.Mm.eg.db","BC051083","Q3V1L6;Q80UV0;Q8CG88"
"Ctrc","Ctrc","Ctrc","CTRC","chymotrypsin C","4","org.Mm.eg.db","Ctrc","Q3SYP2"
"Clps","Clps","Clps","CLPS","colipase, pancreatic","17","org.Mm.eg.db","Clps","B2KF29;Q8VHR2;Q8VHR3;Q9CQC2;Q9D2R7"
"Tm4sf3","Tm4sf3","Tspan8","TSPAN8","tetraspanin 8","10","org.Mm.eg.db","Tm4sf3","Q8R3G9"
"C8b","C8b","C8b","C8B","complement component 8, beta polypeptide","4","org.Mm.eg.db","C8b","Q8BH35;Q4VAH1;Q8CHJ5;Q8CHJ6;Q8VC14"
"Atp2a1","Atp2a1","Atp2a1","ATP2A1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1","7","org.Mm.eg.db","Atp2a1","Q8R429"
"Fdps","Fdps","Fdps","FDPS","farnesyl diphosphate synthetase","3","org.Mm.eg.db","Fdps","Q3TMB3;Q3US29;Q5M8R9;Q4FJN9;Q920E5"
"2310079P10Rik","2310079P10Rik","Tmem182","TMEM182","transmembrane protein 182","1","org.Mm.eg.db","2310079P10Rik","B2RVY9"
"Siglec5","Siglec5","Siglece;Siglecf","SIGLEC9","sialic acid binding Ig-like lectin E; sialic acid binding Ig-like lectin F","7","org.Mm.eg.db","Siglec5","E9QMD1;Q6PJ50;Q91Y57;B7ZN64;Q80ZE2;Q920G3"
"Igfbp2","Igfbp2","Igfbp2","IGFBP2","insulin-like growth factor binding protein 2","1","org.Mm.eg.db","Igfbp2","D3YU40;P47877;Q61722;Q91VK7;Q9D057"
"2610507B11Rik","2610507B11Rik","Bltp2","BLTP2","bridge-like lipid transfer protein family member 2","11","org.Mm.eg.db","2610507B11Rik","Q3UE65;Q5SYL3;Q66JY1;Q6DIC4;Q80U77;Q8C1W6;Q8CE06;Q8CGE3;Q9CSS8"
"Ccl4","Ccl4","Ccl4","CCL4","C-C motif chemokine ligand 4","11","org.Mm.eg.db","Ccl4","P14097;Q5QNV9"
"Sycn","Sycn","Sycn","SYCN","syncollin","7","org.Mm.eg.db","Sycn","Q8VCK7"
"Dnaic1","Dnaic1","Dnai1","DNAI1","dynein axonemal intermediate chain 1","4","org.Mm.eg.db","Dnaic1","A2ANP4;Q8BKY5;Q8C0M8"
"Myl1","Myl1","Myl1","MYL1","myosin, light polypeptide 1","1","org.Mm.eg.db","Myl1","Q545G5;Q6PCW9;P05977;P05978;Q545T7;E9PWG4"
"Ccl3","Ccl3","Ccl3","CCL3L3","C-C motif chemokine ligand 3","11","org.Mm.eg.db","Ccl3","P10855;P14096;Q5QNW0"
"Try3","Try3","Prss3","PRSS3","serine protease 3",NA,"org.Mm.eg.db","Try3","Q3V2G3;Q4G0C2;Q792Z0"
"Mapk1","Mapk1","Mapk1","MAPK1","mitogen-activated protein kinase 1","16","org.Mm.eg.db","Mapk1","P27703;P63085;Q3UF82;Q3V1U6"
"E130318E12Rik","E130318E12Rik","Rabif","RABIF","RAB interacting factor","1","org.Mm.eg.db","E130318E12Rik","Q3U1A4;Q3U2X4;Q91X96"
"Egfr","Egfr","Egfr","EGFR","epidermal growth factor receptor","11","org.Mm.eg.db","Egfr","Q5SVE9;Q9ERV6;Q9WVF5;Q01279;Q9EP98"
"Dnttip1","Dnttip1","Dnttip1","DNTTIP1","deoxynucleotidyltransferase, terminal, interacting protein 1","2","org.Mm.eg.db","Dnttip1","Q3THA4;Q99LB0"
"4930583C14Rik","4930583C14Rik","Gstt4","GSTT4","glutathione S-transferase, theta 4","10","org.Mm.eg.db","4930583C14Rik","Q9D4P7"
"Adam8","Adam8","Adam8","ADAM8","a disintegrin and metallopeptidase domain 8","7","org.Mm.eg.db","Adam8","Q3TVN5;Q3U1R3;Q3U6N3;Q3U7G2;Q8R3D3;Q05910;Q3U1J7;E9Q359;Q8C269"
"4930444A19Rik","4930444A19Rik","4930444A19Rik;Ankrd44","","RIKEN cDNA 4930444A19 gene; ankyrin repeat domain 44","1","org.Mm.eg.db","4930444A19Rik","B2RXN6;B2RXR6;B7ZWK8;E9QNQ2"
"2700017M01Rik","2700017M01Rik","Ppme1","PPME1","protein phosphatase methylesterase 1","7","org.Mm.eg.db","2700017M01Rik","Q3U392;Q3UJX8;Q3UKE0;Q8BVQ5;Q8K311;Q91YR8;Q9CSP7"
"Apobec2","Apobec2","Apobec2","APOBEC2","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2","17","org.Mm.eg.db","Apobec2","Q9WV35"
"Car9","Car9","Car9","CA9","carbonic anhydrase 9","4","org.Mm.eg.db","Car9","Q3UUZ9;Q8K1G1;Q8VDE4;Q8VHB5"
"Mybpc2","Mybpc2","Mybpc2","MYBPC2","myosin binding protein C, fast-type","7","org.Mm.eg.db","Mybpc2","Q5XKE0;Q8C109;Q8K2V0"
"Pdk4","Pdk4","Pdk4","PDK4","pyruvate dehydrogenase kinase, isoenzyme 4","6","org.Mm.eg.db","Pdk4","O70571;Q544J2"
"Acly","Acly","Acly","ACLY","ATP citrate lyase","11","org.Mm.eg.db","Acly","Q3TED3;Q3V117;Q91V92"
"Ccl2","Ccl2","Ccl2","CCL13","C-C motif chemokine ligand 2","11","org.Mm.eg.db","Ccl2","P10148;Q3U5S8;Q5SVU3;Q9QYD7"
"Ugt8","Ugt8","Ugt8a","UGT8","UDP galactosyltransferase 8A","3","org.Mm.eg.db","Ugt8","Q61634;Q64676;Q91W57"
"Ggt1","Ggt1","Ggt1","GGT1","gamma-glutamyltransferase 1","10","org.Mm.eg.db","Ggt1","Q4FK56;Q60928"
"Hmox1","Hmox1","Hmox1","HMOX1","heme oxygenase 1","8","org.Mm.eg.db","Hmox1","P14901;Q3U5H8;Q3U5U6"
"Kitl","Kitl","Kitl","KITLG","kit ligand","10","org.Mm.eg.db","Kitl","P20826;P97332;Q3TNJ7;Q62524;Q64222;Q921N5"
"Anxa2","Anxa2","Anxa2","ANXA2","annexin A2","9","org.Mm.eg.db","Anxa2","P07356;Q3UCD3;Q542G9"
"2600016J21Rik","2600016J21Rik","Ccdc71","CCDC71","coiled-coil domain containing 71","9","org.Mm.eg.db","2600016J21Rik","Q3UDX1;Q8VEG0"
"A930025J12Rik","A930025J12Rik","Tmem87a","TMEM87A","transmembrane protein 87A","2","org.Mm.eg.db","A930025J12Rik","A2AQJ5;Q8BTV9;Q8BU98;Q8BXN9;Q8R2P9;Q8R3S7;A2AQJ6;A2AQJ7"
"Grp58","Grp58","Pdia3","PDIA3","protein disulfide isomerase associated 3","2","org.Mm.eg.db","Grp58","P27773;Q3TEI9;Q3TIL2;Q3UZK8;Q8C2F4;Q99LF6"
"Cyp2c54","Cyp2c54","Cyp2c54","","cytochrome P450, family 2, subfamily c, polypeptide 54","19","org.Mm.eg.db","Cyp2c54","Q6XVG2;Q9DBD9"
"4930562N12Rik","4930562N12Rik","Vmn2r-ps54","","vomeronasal 2, receptor, pseudogene 54","7","org.Mm.eg.db","4930562N12Rik",NA
"9430028I06Rik","9430028I06Rik","Lrrc39","LRRC39","leucine rich repeat containing 39","3","org.Mm.eg.db","9430028I06Rik","Q9D8D7;Q0VDT4;Q8BGI7"
"Lgi2","Lgi2","Lgi2","LGI2","leucine-rich repeat LGI family, member 2","5","org.Mm.eg.db","Lgi2","Q50DZ7;Q80T76;Q8K4Z0;Q8BYS1"
"Serpina3k","Serpina3k","Serpina3k","","serine (or cysteine) peptidase inhibitor, clade A, member 3K","12","org.Mm.eg.db","Serpina3k","A0A0R4J0I1;P07759;Q62257;Q8VCH3;Q91W80;Q91X80"
"1810023F06Rik","1810023F06Rik","Ifi27l2b","","interferon, alpha-inducible protein 27 like 2B","12","org.Mm.eg.db","1810023F06Rik","Q6IEB6;Q8VC49"
"Klk5","Klk5","Klk1b5;Klk5","","kallikrein 1-related peptidase b5; kallikrein related-peptidase 5","7","org.Mm.eg.db","Klk5","A0A1R3UCI2;P15945;Q52KM1;Q565D7;A0A0B6VJJ8;Q9D140"
"Trem2","Trem2","Trem2","TREM2","triggering receptor expressed on myeloid cells 2","17","org.Mm.eg.db","Trem2","Q3U2Q4;Q8CGK4;Q8CIA6;Q99NH8;Q99NH9;Q9JL34"
"Cyp39a1","Cyp39a1","Cyp39a1","CYP39A1","cytochrome P450, family 39, subfamily a, polypeptide 1","17","org.Mm.eg.db","Cyp39a1","A0A3B2WCK5;Q8CFY8;A0A3B2W4C8;Q05CS3;Q544S6;Q9JKJ9"
"Myoz2","Myoz2","Myoz2","MYOZ2","myozenin 2","3","org.Mm.eg.db","Myoz2","Q9JJW5"
"Gal3st1","Gal3st1","Gal3st1","GAL3ST1","galactose-3-O-sulfotransferase 1","11","org.Mm.eg.db","Gal3st1","Q9D8V6;Q9JHE4"
"Nola3","Nola3","Nop10","NOP10","NOP10 ribonucleoprotein","2","org.Mm.eg.db","Nola3","Q9CQS2"
"Acas2","Acas2","Acss2;Acss1","ACSS2","acyl-CoA synthetase short-chain family member 2; acyl-CoA synthetase short-chain family member 1","2","org.Mm.eg.db","Acas2","Q8BK97;Q8C141;Q8C1A8;Q9QXG4;Q3TZ45;Q3UJ89;Q69Z91;Q8K0M6;Q99NB1"
"Slc3a1","Slc3a1","Slc3a1","SLC3A1","solute carrier family 3, member 1","17","org.Mm.eg.db","Slc3a1","O55093;Q91WV7"
"Bmp8b","Bmp8b","Bmp8b","BMP8B","bone morphogenetic protein 8b","4","org.Mm.eg.db","Bmp8b","P55105;Q8BNM2"
"Orm2","Orm2","Orm2","ORM2","orosomucoid 2","4","org.Mm.eg.db","Orm2","P07361"
"Gm1382","Gm1382","Ephx4","EPHX4","epoxide hydrolase 4","5","org.Mm.eg.db","Gm1382","F8VQ47;Q6IE26"
"Mod1","Mod1","Cbx1","CBX1","chromobox 1","11","org.Mm.eg.db","Mod1","P83917;Q9CYJ8"
"Kai1","Kai1","Cd82","CD82","CD82 antigen","2","org.Mm.eg.db","Kai1","P40237;Q3UII2"
"Apob","Apob","Apob","APOB","apolipoprotein B","12","org.Mm.eg.db","Apob","E9Q1Y3;E9Q414;Q3UH74;Q497D8;Q61314;Q61318;Q8CGG8"
"A930021O22","A930021O22","Thada","THADA","thyroid adenoma associated","17","org.Mm.eg.db","A930021O22","A8C756;Q3TDR4;Q3U2L1;Q69ZA8;Q7TPV7;Q8C8S7"
"Cxcl10","Cxcl10","Cxcl10","CXCL10","C-X-C motif chemokine ligand 10","5","org.Mm.eg.db","Cxcl10","P17515;Q3UAS6;Q3UCV1;Q548V9"
"Smpx","Smpx","Smpx","SMPX","small muscle protein, X-linked","X","org.Mm.eg.db","Smpx","A2RT38;Q4QRM9;Q8CEX8;Q9DC77;Q9ER98"
"Mpo","Mpo","Mpo","MPO","myeloperoxidase","11","org.Mm.eg.db","Mpo","P11247;Q5NCP1;Q7TMS4"
"Ccl7","Ccl7","Ccl7","CCL7","C-C motif chemokine ligand 7","11","org.Mm.eg.db","Ccl7","A9Z1Z1;Q03366"
"Tekt1","Tekt1","Tekt1","TEKT1","tektin 1","11","org.Mm.eg.db","Tekt1","Q5NBU4;Q9DAJ2;Q9Z285"
"Gan","Gan","Gan","GAN","giant axonal neuropathy","8","org.Mm.eg.db","Gan","F6TZU3;Q8CA72"
"Spon2","Spon2","Spon2","SPON2","spondin 2, extracellular matrix protein","5","org.Mm.eg.db","Spon2","Q6SJD8;Q8BMS2;Q8VD28"
"Fignl1","Fignl1","Fignl1","FIGNL1","fidgetin-like 1","11","org.Mm.eg.db","Fignl1","Q3UF48;Q8BPY9;Q8C2I6;Q9ERZ5"
"Ces2","Ces2","Ces2c;Ces2h","","carboxylesterase 2C; carboxylesterase 2H","8","org.Mm.eg.db","Ces2","Q91WG0;F6Z9B9"
"Fabp4","Fabp4","Fabp4","FABP4","fatty acid binding protein 4, adipocyte","3","org.Mm.eg.db","Fabp4","P04117;Q542H7"
"Cyp2c37","Cyp2c37","Cyp2c37","","cytochrome P450, family 2. subfamily c, polypeptide 37","19","org.Mm.eg.db","Cyp2c37","E9QKN4;P56654;Q9DBD9"
"Saa4","Saa4","Saa4","SAA2-SAA4","serum amyloid A 4","7","org.Mm.eg.db","Saa4","P31532"
"Col1a2","Col1a2","Col1a2","COL1A2","collagen, type I, alpha 2","6","org.Mm.eg.db","Col1a2","Q01149;Q3TX57;Q8CGA5"
"Emr4","Emr4","Adgre4","","adhesion G protein-coupled receptor E4","17","org.Mm.eg.db","Emr4","Q0VBQ8;Q3U1I7;Q8BYX0;Q8VIM3;Q91ZE5"
"S100a11","S100a11","S100a11","S100A11","S100 calcium binding protein A11","3","org.Mm.eg.db","S100a11","P50543;Q545S1"
"Cyp51","Cyp51","Cyp51","CYP51A1","cytochrome P450, family 51","5","org.Mm.eg.db","Cyp51","Q8BSQ7;Q8K0C4;Q9JIP8;Q9JIY3"
"Tinag","Tinag","Tinag","TINAG","tubulointerstitial nephritis antigen","9","org.Mm.eg.db","Tinag","Q91XG7;Q9WUR0"
"Egr2","Egr2","Egr2","EGR2","early growth response 2","10","org.Mm.eg.db","Egr2","D3Z3K7;P08152;Q3U207"
"Cbfa2t3h","Cbfa2t3h","Cbfa2t3","CBFA2T3","CBFA2/RUNX1 translocation partner 3","8","org.Mm.eg.db","Cbfa2t3h","E9QM80;O54972;Q7TND6;Q8BZS0;B7ZP57"
"2310001N14Rik","2310001N14Rik","Txlnb","TXLNB","taxilin beta","10","org.Mm.eg.db","2310001N14Rik","B2RU93;Q3UVB8;Q8BUK2;Q8VBT1"
"Tnrc15","Tnrc15","Gigyf2","GIGYF2","GRB10 interacting GYF protein 2","1","org.Mm.eg.db","Tnrc15","G3UWR2;G3UYG6;Q0VGQ7;Q3UNS2;Q63ZU9;Q6Y7W8;Q80TV1;Q8K0R0;Q8R0A3"
"Rapgef4","Rapgef4","Rapgef4","RAPGEF4","Rap guanine nucleotide exchange factor (GEF) 4","2","org.Mm.eg.db","Rapgef4","A2ASW4;Q571A8;Q8VIP9;Q9CW52;Q9EQZ6;Q9Z1P0;A2ASW8;Q9CS95"
"Tnfrsf12a","Tnfrsf12a","Tnfrsf12a","TNFRSF12A","tumor necrosis factor receptor superfamily, member 12a","17","org.Mm.eg.db","Tnfrsf12a","E9PZT5;Q3TVG8;Q9CR75;Q9QZW3"
"Cyp3a41","Cyp3a41","Cyp3a41a","CYP3A5","cytochrome P450, family 3, subfamily a, polypeptide 41A","5","org.Mm.eg.db","Cyp3a41","B2RQU5;E9QJT9;Q52L54;Q9JMA7"
"Aqp8","Aqp8","Aqp8","AQP8","aquaporin 8","7","org.Mm.eg.db","Aqp8","A0A0X1KG59;P56404;Q91XC2"
"Clecsf12","Clecsf12","Clec7a","CLEC7A","C-type lectin domain family 7, member a","6","org.Mm.eg.db","Clecsf12","E9QPW2;Q6QLQ4;Q8K1L4;Q9JI50;V9GXI5"
"Tubb2","Tubb2","Tubb2a","TUBB2A","tubulin, beta 2A class IIA","13","org.Mm.eg.db","Tubb2","Q3U9U3;Q7TMM9"
"Clstn3","Clstn3","Clstn3","CLSTN3","calsyntenin 3","6","org.Mm.eg.db","Clstn3","D3Z601;A0A4P8DYG6;Q544R0;Q99JH7"
"D2Ertd750e","D2Ertd750e","Knstrn","KNSTRN","kinetochore-localized astrin/SPAG5 binding","2","org.Mm.eg.db","D2Ertd750e","Q8K2D9;Q9D9Z1"
"2310076E16Rik","2310076E16Rik","Cmya5","CMYA5","cardiomyopathy associated 5","13","org.Mm.eg.db","2310076E16Rik","E9QLJ0;Q70KF4;Q70X91;Q9CV01;Q9CV02;Q9ER93;Q9ER96"
"Tcra","Tcra","Tcra;Trac","","T cell receptor alpha chain; T cell receptor alpha constant",NA,"org.Mm.eg.db","Tcra",NA
"Serpine1","Serpine1","Serpine1","SERPINE1","serine (or cysteine) peptidase inhibitor, clade E, member 1","5","org.Mm.eg.db","Serpine1","G5E899;P22777"
"Sc4mol","Sc4mol","Msmo1","MSMO1","methylsterol monoxygenase 1","8","org.Mm.eg.db","Sc4mol","Q543V8;Q9CRA4"
