"","sex","weight_g","length_cm","ab_fat","other_fat","total_fat","comments"
"F2_164","Female",52.7,10.8,5.81,4.17,9.98,"slightly large spleen"
"F2_165","Female",54.1,10.5,5.72,4.02,9.74,NA
"F2_166","Female",32.1,9.9,1.76,1.7,3.46,NA
"F2_167","Female",29.4,10.7,1.6,1.8,3.4,NA
"F2_169","Female",33.9,10.1,1.48,1.9,3.38,NA
"F2_180","Female",41.8,10.2,2.63,2.79,5.42,NA
"F2_181","Female",31.2,10.2,1.34,1.15,2.49,NA
"F2_182","Female",36,10.1,2.96,2.01,4.97,NA
"F2_187","Female",40.9,10.3,3.04,2.43,5.47,"brain switch 186"
"F2_188","Female",31.5,10.4,1.06,1.38,2.44,NA
"F2_189","Female",36.4,10.5,2.08,2.16,4.24,NA
"F2_190","Female",41.4,10.5,3.6,2.14,5.74,NA
"F2_191","Female",40.9,10.4,3.2,2.5,5.7,NA
"F2_192","Male",41.4,10.2,2.9,2.01,4.91,NA
"F2_194","Male",38,10.3,2.68,2.04,4.72,NA
"F2_195","Male",25.3,10.2,0.17,0.15,0.32,NA
"F2_200","Female",45.6,10.8,3.8,2.55,6.35,"aorta broke"
"F2_201","Female",50.1,10.7,5.07,3.58,8.65,"aorta broke"
"F2_212","Female",35.4,9.8,2.31,2.34,4.65,"kidney/spleen in 213? DNAs corrected"
"F2_213","Female",39.6,10.3,3.39,2.35,5.74,"kidney/spleen in 214? DNAs corrected"
"F2_214","Female",31,9.7,1.67,1.5,3.17,"kidney/spleen in 212 DNAs corrected"
"F2_215","Female",46.3,10.4,2.05,2.56,4.61,NA
"F2_221","Female",43.3,10.1,4.41,2.7,7.11,NA
"F2_222","Female",NA,NA,2.8,2.69,5.49,NA
"F2_223","Female",36.2,10.2,2.18,2.55,4.73,NA
"F2_224","Female",37.3,10,3.07,2.36,5.43,NA
"F2_225","Female",34.1,9.8,1.74,2.31,4.05,NA
"F2_226","Female",29,9.9,1.49,1.61,3.1,NA
"F2_227","Female",36,10.3,2.2,2.15,4.35,NA
"F2_228","Female",42.8,9.9,3.6,3.21,6.81,"aorta switched w/229"
"F2_241","Female",36.7,9.8,2.48,2.49,4.97,NA
"F2_242","Female",38.9,9.9,2.91,1.79,4.7,NA
"F2_243","Female",43.9,10.2,4.26,2.97,7.23,"spleenomegally"
"F2_244","Female",32.8,9.9,1.33,1.95,3.28,NA
"F2_245","Female",42.7,10.4,2.35,2.43,4.78,NA
"F2_247","Female",40.9,10.3,2.93,2.26,5.19,NA
"F2_248","Female",30.7,9.8,1.46,1.45,2.91,NA
"F2_261","Female",39.6,10.3,2.9,2.3,5.2,NA
"F2_263","Female",36,10.1,2.6,2,4.6,NA
"F2_264","Female",41.6,10.4,3.04,2.54,5.58,NA
"F2_270","Female",45.2,10.2,3.66,2.72,6.38,NA
"F2_271","Female",42.3,10,1.58,2.39,3.97,NA
"F2_272","Female",39.6,10,1.82,2.55,4.37,NA
"F2_278","Female",44.4,10.7,2.81,2.78,5.59,NA
"F2_287","Female",43.9,10.2,2.85,2.35,5.2,NA
"F2_288","Female",37.7,10.2,2.04,2.01,4.05,NA
"F2_289","Female",37.2,10.2,2.42,1.9,4.32,NA
"F2_290","Female",36.9,9.9,2.53,2.26,4.79,NA
"F2_291","Female",48.5,10.7,2.9,2.97,5.87,NA
"F2_296","Female",38.8,10.2,3.28,1.64,4.92,NA
"F2_298","Female",33.4,10,2.19,1.81,4,NA
"F2_299","Female",40,9.9,3.41,2.68,6.09,NA
"F2_300","Female",41.1,9.8,4.01,3.29,7.3,NA
"F2_302","Female",44,10.5,3.6,2.05,5.65,NA
"F2_303","Female",41.9,10.1,3.5,2.37,5.87,NA
"F2_304","Female",37.6,10.1,3.36,1.87,5.23,NA
"F2_305","Female",34.1,10.1,2.52,1.58,4.1,NA
"F2_306","Female",42.9,10.2,3.86,2.35,6.21,NA
"F2_307","Female",35.3,9.8,2.48,2.03,4.51,NA
"F2_308","Male",40.5,10,3.27,2.32,5.59,NA
"F2_309","Female",40.7,10.9,3.13,2.16,5.29,NA
"F2_310","Female",39.5,10.6,2.47,2.07,4.54,NA
"F2_311","Female",33.6,9.9,2.4,1.77,4.17,NA
"F2_312","Female",39.4,10.1,2.7,2.75,5.45,NA
"F2_320","Female",39.2,10.3,1.88,2.32,4.2,NA
"F2_321","Female",45.3,10.6,2.5,2.66,5.16,NA
"F2_323","Female",43,10.1,3.14,2.88,6.02,NA
"F2_324","Female",38.3,9.8,2.48,2.31,4.79,NA
"F2_325","Female",40.8,9.7,2.42,2.65,5.07,NA
"F2_326","Female",32.4,9.9,2.26,1.53,3.79,NA
"F2_327","Female",40.5,10.1,2.98,2.47,5.45,NA
"F2_328","Female",36.1,9.7,1.89,2.07,3.96,NA
"F2_329","Female",34,9.9,2.12,1.67,3.79,NA
"F2_330","Female",34.4,10.6,1.54,1.26,2.8,NA
"F2_332","Female",35.3,10.7,1.84,1.48,3.32,"sort of clippered"
"F2_355","Female",40.9,10.4,2.78,1.91,4.69,"spleenomegaly"
"F2_357","Female",45.7,10.8,4.45,2.69,7.14,NA
"F2_4","Male",51.5,11.3,0.94,3.22,4.16,NA
"F2_5","Male",59.2,11.5,1.37,4.03,5.4,NA
"F2_6","Male",51.5,11,1.66,2.35,4.01,NA
"F2_7","Male",56.5,11.2,1.1,2.6,3.7,NA
"F2_8","Male",48.5,10.7,0.94,2.22,3.16,NA
"F2_9","Male",52.7,11.3,2.08,2.74,4.82,"black 9=10"
"F2_10","Male",58.4,12,1.79,2.77,4.56,NA
"F2_13","Male",57.3,11.7,1.5,2.7,4.2,NA
"F2_16","Male",53.4,11.2,1.08,3.41,4.49,NA
"F2_17","Male",48.1,10.6,2.63,2.92,5.55,NA
"F2_18","Male",52.8,11.4,1.62,3.07,4.69,"yellow intestine"
"F2_22","Male",47.6,10.4,1.61,2.72,4.33,NA
"F2_27","Male",53.8,11,0.9,2.56,3.46,NA
"F2_28","Male",35.7,10.7,1.78,2.23,4.01,"black coat"
"F2_29","Male",46.5,10.7,0.89,2.38,3.27,NA
"F2_30","Male",49.2,10.7,0.98,2.31,3.29,NA
"F2_33","Male",46.9,10.3,1.88,2.6,4.48,NA
"F2_34","Male",54.2,10.7,1.79,3.45,5.24,NA
"F2_35","Male",59.4,10.4,2.75,3.87,6.62,NA
"F2_39","Male",50.3,10.4,1.32,2.47,3.79,"black coat"
"F2_40","Male",45.4,10.2,1.09,2.11,3.2,"black coat, spleen&kidney from 40&41 may have been combined as 40"
"F2_41","Male",52,10.4,1.58,2.21,3.79,NA
"F2_49","Male",27.3,9.7,0.45,0.3,0.75,NA
"F2_50","Male",34.5,10,0.59,1.18,1.77,NA
"F2_55","Male",54.3,11.3,0.33,2.25,2.58,"black"
"F2_56","Male",52,11.1,0.19,2.1,2.29,NA
"F2_57","Male",49,10.8,0.9,2.15,3.05,"black"
"F2_59","Male",45.1,10.9,0.43,1.68,2.11,"black"
"F2_60","Male",51.2,10.1,1.06,2.88,3.94,NA
"F2_73","Male",59.2,11.1,1.51,4.1,5.61,NA
"F2_74","Male",50.1,10.7,1.04,3.2,4.24,NA
"F2_75","Male",49.6,11.5,0.68,3.08,3.76,NA
"F2_76","Male",51.3,11.2,1.28,3.74,5.02,NA
"F2_84","Male",47.2,10.7,1.28,2.29,3.57,NA
"F2_85","Male",39.3,10.5,1.16,1.58,2.74,NA
"F2_91","Male",43.9,10.5,1.08,1.73,2.81,NA
"F2_92","Male",54,11.5,1.26,2.56,3.82,NA
"F2_93","Male",43.6,10,1.86,1.47,3.33,NA
"F2_94","Male",46.1,11,1.16,2.33,3.49,NA
"F2_104","Male",57.1,10.8,0.9,2.52,3.42,NA
"F2_105","Male",40.9,10.6,1.84,1.51,3.35,NA
"F2_114","Male",43.9,10.8,0.94,1.65,2.59,NA
"F2_115","Male",57.8,11,1.76,4.06,5.82,NA
"F2_116","Male",54.7,11.2,2.82,3.59,6.41,NA
"F2_120","Male",50.8,11,2.38,2.33,4.71,"tough skin"
"F2_121","Male",46.5,10.2,1.7,3.33,5.03,NA
"F2_122","Male",51.6,11,1.23,2.6,3.83,"spleenomegally"
"F2_123","Male",41.9,9.9,2.14,2.69,4.83,NA
"F2_124","Male",52.1,10.1,3.14,3.07,6.21,NA
"F2_146","Male",64.4,11.7,2.44,2.06,4.5,NA
"F2_147","Male",47.8,11.1,1.5,1.92,3.42,"tumor"
"F2_148","Male",44.87,10.7,1.35,2.28,3.63,NA
"F2_149","Male",49.4,11,1.37,2.53,3.9,NA
"F2_151","Male",50.7,11.2,0.82,1.88,2.7,NA
"F2_152","Male",51.6,11.1,0.7,2.01,2.71,NA
"F2_153","Male",51.6,11,2.33,2.6,4.93,"spleenomegally"
"F2_158","Male",52.7,10.9,0.89,3.43,4.32,NA
"F2_159","Male",51,10.9,1.74,2.17,3.91,NA
"F2_160","Male",48.6,10.8,1.68,1.81,3.49,NA
"F2_170","Male",47,10.6,1,2.31,3.31,NA
"F2_171","Male",51.5,10.8,1,2.5,3.5,NA
"F2_172","Male",36.5,9.8,1.7,2.19,3.89,NA
"F2_173","Male",60.7,11.1,1.03,3.2,4.23,NA
"F2_174","Male",51,10.8,0.91,1.91,2.82,NA
"F2_176","Male",49.1,10.4,1.61,3.61,5.22,NA
"F2_178","Male",55.7,10.6,1.35,2.79,4.14,NA
"F2_179","Male",48.6,10.3,1.33,2.28,3.61,"large spleen"
"F2_183","Male",50.2,10.7,1.55,2.55,4.1,NA
"F2_184","Male",52.1,11,0.61,2.13,2.74,NA
"F2_185","Male",43.4,10.9,1.49,2.37,3.86,"aorta?"
"F2_186","Male",39.3,10.4,1.28,1.67,2.95,"brain switch 187"
"F2_197","Female",43.7,10.7,1.39,2.44,3.83,NA
"F2_198","Female",41.6,10.4,0.85,1.67,2.52,NA
"F2_199","Female",44.8,10.5,1.61,2.13,3.74,NA
"F2_207","Male",56.9,11,0.98,3.17,4.15,NA
"F2_208","Male",51.7,10.5,1.86,3.15,5.01,"spleenomegally"
"F2_209","Male",42.9,10.4,2.26,2.54,4.8,NA
"F2_210","Male",38.5,10.5,1.05,1.57,2.62,"spleenomegally"
"F2_216","Male",46.4,10.4,1.26,1.8,3.06,NA
"F2_217","Male",48.4,10.5,0.71,2.24,2.95,NA
"F2_218","Male",44.3,9.9,1.04,2.74,3.78,NA
"F2_219","Male",52.8,10.5,1.49,2.5,3.99,NA
"F2_220","Male",49.2,10.7,1.14,1.93,3.07,NA
"F2_230","Male",45.3,10.5,1.75,2.07,3.82,NA
"F2_231","Male",47.4,10.3,0.94,2.26,3.2,NA
"F2_232","Male",45.7,10.3,1.92,2.19,4.11,NA
"F2_233","Male",50.4,10.6,1.17,2.57,3.74,NA
"F2_234","Male",47.8,10.2,1.53,2.18,3.71,NA
"F2_235","Male",47.9,10.5,2.16,3.15,5.31,NA
"F2_236","Male",52.2,10.6,1.73,2.07,3.8,NA
"F2_237","Male",47.6,10.7,1.43,2.84,4.27,NA
"F2_238","Male",50.4,10.6,2.35,NA,NA,NA
"F2_239","Male",54.2,10.7,1.72,2.51,4.23,NA
"F2_249","Male",48.4,10.6,0.71,1.5,2.21,"slightly large spleen"
"F2_250","Male",45.4,10.2,1.16,2.2,3.36,NA
"F2_251","Male",40.9,10.4,1.05,1.57,2.62,NA
"F2_252","Male",46.8,10.5,1.57,1.65,3.22,"muscle switched w 253"
"F2_254","Male",50.4,10.7,0.99,2.4,3.39,NA
"F2_256","Male",51.2,11,1.63,2.7,4.33,"enlarged thymus, slightly large spleen"
"F2_257","Male",34.3,9.6,0.58,1.15,1.73,NA
"F2_265","Male",47.1,10.5,1.47,2.31,3.78,NA
"F2_266","Male",53.2,10.7,0.83,2.08,2.91,NA
"F2_268","Male",48,10.9,1.13,2.15,3.28,NA
"F2_274","Male",49.4,11,0.91,1.71,2.62,NA
"F2_275","Male",50.4,10.5,0.86,2.51,3.37,NA
"F2_276","Male",54.1,11.1,1.3,2.87,4.17,NA
"F2_279","Male",44.8,10.5,2.05,2.25,4.3,NA
"F2_280","Male",50.7,10.4,1.17,2.74,3.91,NA
"F2_281","Male",41.8,10.5,1.54,2.18,3.72,NA
"F2_282","Male",52.3,10.5,NA,2.86,NA,NA
"F2_284","Male",53.8,10.5,1.19,2.47,3.66,NA
"F2_285","Male",43.9,10.3,0.76,1.87,2.63,NA
"F2_286","Male",49,10.5,2.03,2.45,4.48,NA
"F2_292","Male",45.7,10.4,1.04,2.31,3.35,NA
"F2_294","Male",44.8,9.8,1.22,2.47,3.69,NA
"F2_295","Male",39.2,10.2,3.06,2.49,5.55,NA
"F2_313","Male",46.2,10.4,1.76,2.35,4.11,NA
"F2_314","Male",52.3,10.7,1.45,2.65,4.1,NA
"F2_315","Male",54.4,11.1,0.38,2.32,2.7,NA
"F2_316","Male",52.7,11.1,1.09,1.61,2.7,NA
"F2_317","Male",48.2,11.3,1.15,2.1,3.25,NA
"F2_318","Male",52.5,10.7,0.68,2.75,3.43,NA
"F2_343","Male",39.6,10.1,2.08,1.66,3.74,NA
"F2_353","Male",50.8,10.9,1.08,2.53,3.61,NA
