"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"ACAD9","ACAD9","acyl-CoA dehydrogenase family member 9","protein_coding","3","128879619","2035","3q21.3"
"ACADM","ACADM","acyl-CoA dehydrogenase medium chain","protein_coding","1","75724346","2046","1p31.1"
"ACADS","ACADS","acyl-CoA dehydrogenase short chain","protein_coding","12","120725825","1554","12q24.31"
"ACADSB","ACADSB","acyl-CoA dehydrogenase short/branched chain","protein_coding","10","123009005","5856","10q26.13"
"ACADVL","ACADVL","acyl-CoA dehydrogenase very long chain","protein_coding","17","7217124","2235","17p13.1"
"ACAP1","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","protein_coding","17","7336528","2508","17p13.1"
"ACAP2","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","protein_coding","3","195274744","4500","3q29"
"ACAP3","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","protein_coding","1","1292390","3560","1p36.33"
"ACAT1","ACAT1","acetyl-CoA acetyltransferase 1","protein_coding","11","108121566","1939","11q22.3"
"ACAT2","ACAT2","acetyl-CoA acetyltransferase 2","protein_coding","6","159762478","1622","6q25.3"
"ACBD3","ACBD3","acyl-CoA binding domain containing 3","protein_coding","1","226144678","3565","1q42.12"
"ACBD5","ACBD5","acyl-CoA binding domain containing 5","protein_coding","10","27195213","3667","10p12.1"
"ACBD6","ACBD6","acyl-CoA binding domain containing 6","protein_coding","1","180288229","1616","1q25.2-q25.3"
"ACD","ACD","ACD shelterin complex subunit and telomerase recruitment factor","protein_coding","16","67657511","2197","16q22.1"
"ACE","ACE","angiotensin I converting enzyme","protein_coding","17","63484845","3226","17q23.3"
"ACIN1","ACIN1","apoptotic chromatin condensation inducer 1","protein_coding","14","23058564","3737","14q11.2"
"ACKR2","ACKR2","atypical chemokine receptor 2","protein_coding","3","42809444","2640","3p22.1"
"ACLY","ACLY","ATP citrate lyase","protein_coding","17","41866916","4180","17q21.2"
"ACO1","ACO1","aconitase 1","protein_coding","9","32384642","3405","9p21.1"
"ACO2","ACO2","aconitase 2","protein_coding","22","41469116","2741","22q13.2"
"ACOT1","ACOT1","acyl-CoA thioesterase 1","protein_coding","14","73537142","1606","14q24.3"
"ACOT13","ACOT13","acyl-CoA thioesterase 13","protein_coding","6","24667034","4248","6p22.3"
"ACOT2","ACOT2","acyl-CoA thioesterase 2","protein_coding","14","73569058","1681","14q24.3"
"ACOT8","ACOT8","acyl-CoA thioesterase 8","protein_coding","20","45841720","2056","20q13.12"
"ACOT9","ACOT9","acyl-CoA thioesterase 9","protein_coding","X","23701055","1427","Xp22.11"
"ACOX1","ACOX1","acyl-CoA oxidase 1","protein_coding","17","75941510","7668","17q25.1"
"ACOX3","ACOX3","acyl-CoA oxidase 3, pristanoyl","protein_coding","4","8366281","2869","4p16.1"
"ACP1","ACP1","acid phosphatase 1","protein_coding","2","264868","1308","2p25.3"
"ACP2","ACP2","acid phosphatase 2, lysosomal","protein_coding","11","47239301","1796","11p11.2|11p12-p11"
"ACP5","ACP5","acid phosphatase 5, tartrate resistant","protein_coding","19","11574659","1458","19p13.2"
"ACP6","ACP6","acid phosphatase 6, lysophosphatidic","protein_coding","1","147647367","2714","1q21.2"
"ACSF2","ACSF2","acyl-CoA synthetase family member 2","protein_coding","17","50468328","1942","17q21.33"
"ACSF3","ACSF3","acyl-CoA synthetase family member 3","protein_coding","16","89093851","3294","16q24.3"
"ACSL1","ACSL1","acyl-CoA synthetase long chain family member 1","protein_coding","4","184755594","3129","4q35.1"
"ACSL3","ACSL3","acyl-CoA synthetase long chain family member 3","protein_coding","2","222861035","4308","2q36.1"
"ACSL4","ACSL4","acyl-CoA synthetase long chain family member 4","protein_coding","X","109641334","4394","Xq23"
"ACSL5","ACSL5","acyl-CoA synthetase long chain family member 5","protein_coding","10","112376197","3121","10q25.2"
"ACSM3","ACSM3","acyl-CoA synthetase medium chain family member 3","protein_coding","16","20763989","1937","16p12.3"
"ACSS1","ACSS1","acyl-CoA synthetase short chain family member 1","protein_coding","20","25006229","3430","20p11.21"
"ACSS2","ACSS2","acyl-CoA synthetase short chain family member 2","protein_coding","20","34874962","2459","20q11.22"
"ACTBL2","ACTBL2","actin beta like 2","protein_coding","5","57480017","2794","5q11.2"
"ACTC1","ACTC1","actin alpha cardiac muscle 1","protein_coding","15","34790229","3693","15q14"
"ACTG1","ACTG1","actin gamma 1","protein_coding","17","81509970","1976","17q25.3"
"ACTL6A","ACTL6A","actin like 6A","protein_coding","3","179562879","1826","3q26.33"
"ACTN1","ACTN1","actinin alpha 1","protein_coding","14","68874127","3046","14q24.1|14q22-q24"
"ACTN4","ACTN4","actinin alpha 4","protein_coding","19","38647648","3001","19q13.2"
"ACTR10","ACTR10","actin related protein 10","protein_coding","14","58200148","2185","14q23.1"
"ACTR1A","ACTR1A","actin related protein 1A","protein_coding","10","102479228","2826","10q24.32"
"ACTR1B","ACTR1B","actin related protein 1B","protein_coding","2","97655938","2258","2q11.2"
"ACTR2","ACTR2","actin related protein 2","protein_coding","2","65227694","3354","2p14"
"ACTR3","ACTR3","actin related protein 3","protein_coding","2","113890088","5589","2q14.1"
"ACTR3B","ACTR3B","actin related protein 3B","protein_coding","7","152759748","2119","7q36.1-q36.2"
"ACTR5","ACTR5","actin related protein 5","protein_coding","20","38748459","2479","20q11.23"
"ACTR6","ACTR6","actin related protein 6","protein_coding","12","100200086","2122","12q23.1"
"ACTR8","ACTR8","actin related protein 8","protein_coding","3","53867065","3345","3p21.1"
"ACVR1","ACVR1","activin A receptor type 1","protein_coding","2","157736445","2954","2q24.1"
"ACVR2A","ACVR2A","activin A receptor type 2A","protein_coding","2","147844516","5256","2q22.3-q23.1"
"ACY1","ACY1","aminoacylase 1","protein_coding","3","51983534","1620","3p21.2"
"ACYP1","ACYP1","acylphosphatase 1","protein_coding","14","75053242","646","14q24.3"
"ACYP2","ACYP2","acylphosphatase 2","protein_coding","2","54123282","1222","2p16.2"
"ADA","ADA","adenosine deaminase","protein_coding","20","44619518","1532","20q13.12"
"ADAL","ADAL","adenosine deaminase like","protein_coding","15","43330671","2632","15q15.3"
"ADAM10","ADAM10","ADAM metallopeptidase domain 10","protein_coding","15","58588808","2780","15q21.3"
"ADAM17","ADAM17","ADAM metallopeptidase domain 17","protein_coding","2","9488485","1931","2p25.1"
"ADAM8","ADAM8","ADAM metallopeptidase domain 8","protein_coding","10","133262422","2396","10q26.3"
"ADAR","ADAR","adenosine deaminase RNA specific","protein_coding","1","154582057","4437","1q21.3"
"ADARB1","ADARB1","adenosine deaminase RNA specific B1","protein_coding","21","45074579","4301","21q22.3"
"ADAT2","ADAT2","adenosine deaminase tRNA specific 2","protein_coding","6","143422831","3874","6q24.2"
"ADAT3","ADAT3","adenosine deaminase tRNA specific 3","protein_coding","19","1905398","1626","19p13.3"
"ADCK1","ADCK1","aarF domain containing kinase 1","protein_coding","14","77800108","1768","14q24.3"
"ADCYAP1","ADCYAP1","adenylate cyclase activating polypeptide 1","protein_coding","18","904870","3223","18p11.32"
"ADD1","ADD1","adducin 1","protein_coding","4","2843843","3772","4p16.3"
"ADD2","ADD2","adducin 2","protein_coding","2","70675090","3594","2p13.3"
"ADD3","ADD3","adducin 3","protein_coding","10","110007983","4252","10q25.1-q25.2"
"ADGRE5","ADGRE5","adhesion G protein-coupled receptor E5","protein_coding","19","14381143","3350","19p13.12"
"ADH5","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","protein_coding","4","99070978","2308","4q23"
"ADI1","ADI1","acireductone dioxygenase 1","protein_coding","2","3497365","3040","2p25.3"
"ADK","ADK","adenosine kinase","protein_coding","10","74151220","2104","10q22.2|10q11-q24"
"ADNP","ADNP","activity dependent neuroprotector homeobox","protein_coding","20","50888917","4626","20q13.13"
"ADNP2","ADNP2","ADNP homeobox 2","protein_coding","18","80109261","5387","18q23"
"ADO","ADO","2-aminoethanethiol dioxygenase","protein_coding","10","62804719","3724","10q21.3"
"ADPGK","ADPGK","ADP dependent glucokinase","protein_coding","15","72751293","2411","15q24.1"
"ADPRH","ADPRH","ADP-ribosylarginine hydrolase","protein_coding","3","119579491","3264","3q13.33"
"ADPRM","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent","protein_coding","17","10697593","1370","17p13.1"
"ADRA2A","ADRA2A","adrenoceptor alpha 2A","protein_coding","10","111077028","3873","10q25.2"
"ADRM1","ADRM1","adhesion regulating molecule 1","protein_coding","20","62302895","1174","20q13.33"
"ADSL","ADSL","adenylosuccinate lyase","protein_coding","22","40346499","1261","22q13.1"
"AEBP1","AEBP1","AE binding protein 1","protein_coding","7","44104344","2963","7p13"
"AEBP2","AEBP2","AE binding protein 2","protein_coding","12","19440598","5103","12p12.3"
"AFAP1","AFAP1","actin filament associated protein 1","protein_coding","4","7758712","7644","4p16.1"
"AFDN","AFDN","afadin, adherens junction formation factor","protein_coding","6","167827634","5931","6q27"
"AFF1","AFF1","AF4/FMR2 family member 1","protein_coding","4","87006987","5161","4q21.3-q22.1"
"AFF4","AFF4","AF4/FMR2 family member 4","protein_coding","5","132875395","6106","5q31.1"
"AFG3L2","AFG3L2","AFG3 like matrix AAA peptidase subunit 2","protein_coding","18","12328943","3209","18p11.21"
"AFM","AFM","afamin","protein_coding","4","73481744","1997","4q13.3"
"AFTPH","AFTPH","aftiphilin","protein_coding","2","64524327","4002","2p14"
"AGA","AGA","aspartylglucosaminidase","protein_coding","4","177430774","1834","4q34.3"
"AGAP2","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","protein_coding","12","57723760","5511","12q14.1"
"AGAP3","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","protein_coding","7","151085866","2580","7q36.1"
"AGFG1","AGFG1","ArfGAP with FG repeats 1","protein_coding","2","227472155","8651","2q36.3"
"AGFG2","AGFG2","ArfGAP with FG repeats 2","protein_coding","7","100539202","3068","7q22.1"
"AGGF1","AGGF1","angiogenic factor with G-patch and FHA domains 1","protein_coding","5","77030403","2165","5q13.3"
"AGK","AGK","acylglycerol kinase","protein_coding","7","141551409","1755","7q34"
"AGL","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","protein_coding","1","99850974","7244","1p21.2"
"AGMAT","AGMAT","agmatinase","protein_coding","1","15571698","3154","1p36.21"
"AGO1","AGO1","argonaute RISC component 1","protein_coding","1","35883208","6985","1p34.3"
"AGO2","AGO2","argonaute RISC catalytic component 2","protein_coding","8","140520155","3402","8q24.3"
"AGO3","AGO3","argonaute RISC catalytic component 3","protein_coding","1","35931104","2919","1p34.3"
"AGPAT1","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1","protein_coding","6_GL000254v2_alt","3510232","1938","6p21.32"
"AGPAT2","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","protein_coding","9","136673142","1500","9q34.3"
"AGPAT3","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3","protein_coding","21","43925397","6694","21q22.3"
"AGPAT5","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5","protein_coding","8","6708641","5256","8p23.1"
"AGPS","AGPS","alkylglycerone phosphate synthase","protein_coding","2","177392772","7554","2q31.2"
"AGT","AGT","angiotensinogen","protein_coding","1","230702522","2539","1q42.2"
"AGTPBP1","AGTPBP1","ATP/GTP binding protein 1","protein_coding","9","85546538","3863","9q21.33"
"AGTRAP","AGTRAP","angiotensin II receptor associated protein","protein_coding","1","11736084","1202","1p36.22"
"AHCTF1","AHCTF1","AT-hook containing transcription factor 1","protein_coding","1","246839097","6474","1q44"
"AHCY","AHCY","adenosylhomocysteinase","protein_coding","20","34280267","1933","20q11.22"
"AHCYL1","AHCYL1","adenosylhomocysteinase like 1","protein_coding","1","110000926","4002","1p13.3"
"AHCYL2","AHCYL2","adenosylhomocysteinase like 2","protein_coding","7","129368379","5028","7q32.1"
"AHI1","AHI1","Abelson helper integration site 1","protein_coding","6","135283971","4521","6q23.3"
"AHNAK","AHNAK","AHNAK nucleoprotein","protein_coding","11","62515901","9954","11q12.3"
"AHR","AHR","aryl hydrocarbon receptor","protein_coding","7","17298651","6247","7p21.1"
"AHSA1","AHSA1","activator of HSP90 ATPase activity 1","protein_coding","14","77457866","1270","14q24.3"
"AHSG","AHSG","alpha 2-HS glycoprotein","protein_coding","3","186613059","1289","3q27.3"
"AIFM1","AIFM1","apoptosis inducing factor mitochondria associated 1","protein_coding","X","130129362","2108","Xq26.1"
"AIMP1","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1","protein_coding","4","106316549","2751","4q24"
"AIMP2","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2","protein_coding","7","6009566","1219","7p22.1"
"AIP","AIP","aryl hydrocarbon receptor interacting protein","protein_coding","11","67483515","1233","11q13.2"
"AK2","AK2","adenylate kinase 2","protein_coding","1","33007985","3381","1p35.1"
"AK4","AK4","adenylate kinase 4","protein_coding","1","65148993","6839","1p31.3"
"AK5","AK5","adenylate kinase 5","protein_coding","1","77283086","3164","1p31.1"
"AKAP1","AKAP1","A-kinase anchoring protein 1","protein_coding","17","57085245","3761","17q22"
"AKAP10","AKAP10","A-kinase anchoring protein 10","protein_coding","17","19904302","2304","17p11.2"
"AKAP11","AKAP11","A-kinase anchoring protein 11","protein_coding","13","42272151","9920","13q14.11"
"AKAP12","AKAP12","A-kinase anchoring protein 12","protein_coding","6","151325530","7242","6q25.1"
"AKAP13","AKAP13","A-kinase anchoring protein 13","protein_coding","15","85619949","7908","15q25.3"
"AKAP17A","AKAP17A","A-kinase anchoring protein 17A","protein_coding","X","1591603","2902","Xp22.33|Yp11.32"
"AKAP7","AKAP7","A-kinase anchoring protein 7","protein_coding","6","131250403","2644","6q23.2"
"AKAP8","AKAP8","A-kinase anchoring protein 8","protein_coding","19","15353385","2442","19p13.12"
"AKAP8L","AKAP8L","A-kinase anchoring protein 8 like","protein_coding","19","15380049","1742","19p13.12"
"AKAP9","AKAP9","A-kinase anchoring protein 9","protein_coding","7","91940861","6963","7q21.2"
"AKNA","AKNA","AT-hook transcription factor","protein_coding","9","114336126","5577","9q32"
"AKR1A1","AKR1A1","aldo-keto reductase family 1 member A1","protein_coding","1","45550825","1367","1p34.1"
"AKR1B1","AKR1B1","aldo-keto reductase family 1 member B","protein_coding","7","134442349","1398","7q33"
"AKR1C3","AKR1C3","aldo-keto reductase family 1 member C3","protein_coding","10","5094413","1219","10p15.1"
"AKR7A2","AKR7A2","aldo-keto reductase family 7 member A2","protein_coding","1","19302707","1826","1p36.13"
"AKT1","AKT1","AKT serine/threonine kinase 1","protein_coding","14","104769349","2716","14q32.33"
"AKT1S1","AKT1S1","AKT1 substrate 1","protein_coding","19","49869032","2034","19q13.33"
"AKT2","AKT2","AKT serine/threonine kinase 2","protein_coding","19","40230316","4215","19q13.2"
"AKT3","AKT3","AKT serine/threonine kinase 3","protein_coding","1","243499718","3464","1q43-q44"
"AKTIP","AKTIP","AKT interacting protein","protein_coding","16","53491039","1864","16q12.2"
"ALAD","ALAD","aminolevulinate dehydratase","protein_coding","9","113386311","3241","9q32"
"ALAS1","ALAS1","5'-aminolevulinate synthase 1","protein_coding","3","52198082","1947","3p21.2"
"ALCAM","ALCAM","activated leukocyte cell adhesion molecule","protein_coding","3","105366712","3325","3q13.11"
"ALDH16A1","ALDH16A1","aldehyde dehydrogenase 16 family member A1","protein_coding","19","49453224","2908","19q13.33"
"ALDH18A1","ALDH18A1","aldehyde dehydrogenase 18 family member A1","protein_coding","10","95605942","3290","10q24.1"
"ALDH1B1","ALDH1B1","aldehyde dehydrogenase 1 family member B1","protein_coding","9","38392701","3070","9p13.1"
"ALDH1L2","ALDH1L2","aldehyde dehydrogenase 1 family member L2","protein_coding","12","105019789","7498","12q23.3"
"ALDH3A2","ALDH3A2","aldehyde dehydrogenase 3 family member A2","protein_coding","17","19648149","3642","17p11.2"
"ALDH4A1","ALDH4A1","aldehyde dehydrogenase 4 family member A1","protein_coding","1","18871429","3056","1p36.13"
"ALDH5A1","ALDH5A1","aldehyde dehydrogenase 5 family member A1","protein_coding","6","24494968","5150","6p22.3"
"ALDH6A1","ALDH6A1","aldehyde dehydrogenase 6 family member A1","protein_coding","14","74056846","2221","14q24.3"
"ALDH7A1","ALDH7A1","aldehyde dehydrogenase 7 family member A1","protein_coding","5","126541840","4637","5q23.2"
"ALDH9A1","ALDH9A1","aldehyde dehydrogenase 9 family member A1","protein_coding","1","165662211","2243","1q24.1"
"ALDOA","ALDOA","aldolase, fructose-bisphosphate A","protein_coding","16","30065759","1764","16p11.2"
"ALDOC","ALDOC","aldolase, fructose-bisphosphate C","protein_coding","17","28573119","1651","17q11.2"
"ALG1","ALG1","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase","protein_coding","16","5072247","4301","16p13.3"
"ALG10","ALG10","ALG10 alpha-1,2-glucosyltransferase","protein_coding","12","34022495","3127","12p11.1"
"ALG11","ALG11","ALG11 alpha-1,2-mannosyltransferase","protein_coding","13","52012397","2007","13q14.3"
"ALG12","ALG12","ALG12 alpha-1,6-mannosyltransferase","protein_coding","22","49900228","2373","22q13.33"
"ALG13","ALG13","ALG13 UDP-N-acetylglucosaminyltransferase subunit","protein_coding","X","111681169","3206","Xq23"
"ALG3","ALG3","ALG3 alpha-1,3- mannosyltransferase","protein_coding","3","184242300","1397","3q27.1"
"ALG5","ALG5","ALG5 dolichyl-phosphate beta-glucosyltransferase","protein_coding","13","36949737","1228","13q13.3"
"ALG6","ALG6","ALG6 alpha-1,3-glucosyltransferase","protein_coding","1","63367626","2894","1p31.3"
"ALG8","ALG8","ALG8 alpha-1,3-glucosyltransferase","protein_coding","11","78100941","1449","11q14.1"
"ALG9","ALG9","ALG9 alpha-1,2-mannosyltransferase","protein_coding","11","111782194","5688","11q23.1"
"ALKBH1","ALKBH1","alkB homolog 1, histone H2A dioxygenase","protein_coding","14","77672403","2585","14q24.3"
"ALKBH2","ALKBH2","alkB homolog 2, alpha-ketoglutarate dependent dioxygenase","protein_coding","12","109088187","986","12q24.11"
"ALKBH3","ALKBH3","alkB homolog 3, alpha-ketoglutarate dependent dioxygenase","protein_coding","11","43880830","1614","11p11.2"
"ALKBH4","ALKBH4","alkB homolog 4, lysine demethylase","protein_coding","7","102456242","2076","7q22.1"
"ALKBH5","ALKBH5","alkB homolog 5, RNA demethylase","protein_coding","17","18183827","3433","17p11.2"
"ALKBH6","ALKBH6","alkB homolog 6","protein_coding","19","36009119","974","19q13.12"
"ALKBH8","ALKBH8","alkB homolog 8, tRNA methyltransferase","protein_coding","11","107502726","3742","11q22.3"
"ALMS1","ALMS1","ALMS1 centrosome and basal body associated protein","protein_coding","2","73385757","9594","2p13.1"
"ALOX5","ALOX5","arachidonate 5-lipoxygenase","protein_coding","10","45374215","2407","10q11.21"
"ALOX5AP","ALOX5AP","arachidonate 5-lipoxygenase activating protein","protein_coding","13","30735542","1066","13q12.3"
"ALPK1","ALPK1","alpha kinase 1","protein_coding","4","112297342","4127","4q25"
"ALS2","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","protein_coding","2","201759452","4565","2q33.1"
"ALYREF","ALYREF","Aly/REF export factor","protein_coding","17","81887834","1097","17q25.3"
"AMBP","AMBP","alpha-1-microglobulin/bikunin precursor","protein_coding","9","114060127","1355","9q32"
"AMBRA1","AMBRA1","autophagy and beclin 1 regulator 1","protein_coding","11","46396413","4895","11p11.2"
"AMD1","AMD1","adenosylmethionine decarboxylase 1","protein_coding","6","110874783","3221","6q21"
"AMDHD2","AMDHD2","amidohydrolase domain containing 2","protein_coding","16","2520370","1774","16p13.3"
"AMFR","AMFR","autocrine motility factor receptor","protein_coding","16","56361451","2979","16q13"
"AMH","AMH","anti-Mullerian hormone","protein_coding","19","2249322","2018","19p13.3"
"AMIGO2","AMIGO2","adhesion molecule with Ig like domain 2","protein_coding","12","47076599","3919","12q13.11"
"AMPD2","AMPD2","adenosine monophosphate deaminase 2","protein_coding","1","109619812","3257","1p13.3"
"AMPD3","AMPD3","adenosine monophosphate deaminase 3","protein_coding","11","10456055","3860","11p15.4"
"AMZ2","AMZ2","archaelysin family metallopeptidase 2","protein_coding","17","68248003","1512","17q24.2"
"ANAPC1","ANAPC1","anaphase promoting complex subunit 1","protein_coding","2","111767639","7736","2q13"
"ANAPC10","ANAPC10","anaphase promoting complex subunit 10","protein_coding","4","144994574","1488","4q31.21"
"ANAPC15","ANAPC15","anaphase promoting complex subunit 15","protein_coding","11","72109586","1109","11q13.4"
"ANAPC16","ANAPC16","anaphase promoting complex subunit 16","protein_coding","10","72215999","3300","10q22.1"
"ANAPC2","ANAPC2","anaphase promoting complex subunit 2","protein_coding","9","137174783","2274","9q34.3"
"ANAPC4","ANAPC4","anaphase promoting complex subunit 4","protein_coding","4","25377262","1679","4p15.2"
"ANAPC5","ANAPC5","anaphase promoting complex subunit 5","protein_coding","12","121308244","2193","12q24.31"
"ANAPC7","ANAPC7","anaphase promoting complex subunit 7","protein_coding","12","110375466","2628","12q24.11"
"ANGEL2","ANGEL2","angel homolog 2","protein_coding","1","212992181","3946","1q32.3"
"ANK1","ANK1","ankyrin 1","protein_coding","8","41653224","5944","8p11.21"
"ANK2","ANK2","ankyrin 2","protein_coding","4","112860986","6521","4q25-q26"
"ANK3","ANK3","ankyrin 3","protein_coding","10","60026297","6426","10q21.2"
"ANKFY1","ANKFY1","ankyrin repeat and FYVE domain containing 1","protein_coding","17","4163822","5457","17p13.2"
"ANKH","ANKH","ANKH inorganic pyrophosphate transport regulator","protein_coding","5","14704799","8207","5p15.2"
"ANKHD1","ANKHD1","ankyrin repeat and KH domain containing 1","protein_coding","5","140401832","3440","5q31.3"
"ANKLE2","ANKLE2","ankyrin repeat and LEM domain containing 2","protein_coding","12","132725504","3039","12q24.33"
"ANKMY2","ANKMY2","ankyrin repeat and MYND domain containing 2","protein_coding","7","16599779","2611","7p21.1"
"ANKRD10","ANKRD10","ankyrin repeat domain 10","protein_coding","13","110878539","1983","13q34"
"ANKRD11","ANKRD11","ankyrin repeat domain 11","protein_coding","16","89286661","5718","16q24.3"
"ANKRD12","ANKRD12","ankyrin repeat domain 12","protein_coding","18","9136780","8071","18p11.22"
